index,units,quantity_on_hand,status,delivered,supply_score,product_name,month
2020-01-01T17:00:43Z,665,158,NONE,YES, 0,masks,2
2020-01-01T17:08:18Z,291,168,NONE,YES, 1,ppe,1
2020-01-01T17:14:08Z,4416,165,NONE,YES,10,visors,8
2020-01-01T17:22:55Z,4912,168,ACTIVE,YES,10,visors,8
2020-01-01T17:52:11Z,885,163,NONE,YES, 3,biologics,6
2020-01-01T19:10:20Z,279,178,NONE,NO, 3,ppe,1
2020-01-01T19:25:00Z,343,173,ACTIVE,YES, 5,respirators,4
2020-01-01T19:30:12Z,1020,190,ACTIVE,YES, 4,masks,2
2020-01-01T19:30:14Z,1276,168,NONE,YES, 3,oxygen_tanks,5
2020-01-01T20:54:48Z,3098,182,PASSIVE,NO,15,oxygen_tanks,5
2020-01-01T21:08:55Z,1752,182,NONE,YES,10,visors,8
2020-01-01T21:11:25Z,1275,174,ACTIVE,NO, 8,respirators,4
2020-01-01T21:16:14Z,673,164,NONE,NO, 6,sanitizers,9
2020-01-01T21:29:04Z,972,170,NONE,YES,10,ppe,1
2020-01-02T00:03:33Z,66,164,PASSIVE,YES,10,visors,8
2020-01-02T00:06:06Z,3443,164,PASSIVE,NO, 4,vaccines,3
2020-01-02T00:53:27Z,1850,150,NONE,YES, 6,ppe,1
2020-01-02T01:29:13Z,268,167,PASSIVE,NO,10,oxygen_tanks,5
2020-01-02T03:25:49Z,2059,180,ACTIVE,NO, 0,oxygen_tanks,5
2020-01-02T03:37:02Z,2529,165,PASSIVE,YES,10,vaccines,3
2020-01-02T05:25:59Z,3048,175,NONE,YES, 0,vaccines,3
2020-01-02T05:46:40Z,1114,160,NONE,YES, 4,diagnostics,7
2020-01-02T05:48:32Z,3698,160,PASSIVE,NO, 6,vaccines,3
2020-01-02T05:52:15Z,3931,179,NONE,NO, 8,vaccines,3
2020-01-02T08:20:03Z,1592,170,NONE,YES,10,respirators,4
2020-01-02T08:27:29Z,2343,185,PASSIVE,NO, 4,diagnostics,7
2020-01-02T08:55:58Z,4904,165,ACTIVE,YES,30,oxygen_tanks,5
2020-01-02T09:43:52Z,4184,175,NONE,YES,20,oxygen_tanks,5
2020-01-02T10:13:01Z,3096,174,NONE,YES, 3,sanitizers,9
2020-01-02T10:48:40Z,786,176,NONE,YES, 3,sanitizers,9
2020-01-02T11:13:27Z,1169,180,NONE,NO,10,sanitizers,9
2020-01-02T12:49:25Z,1044,179,PASSIVE,NO, 3,diagnostics,7
2020-01-02T13:04:25Z,1575,168,ACTIVE,NO, 0,biologics,6
2020-01-02T13:22:45Z,1339,164,NONE,YES, 1,masks,2
2020-01-02T14:35:07Z,2952,164,NONE,YES, 4,ventilators,10
2020-01-02T17:09:45Z,1758,172,NONE,NO, 0,diagnostics,7
2020-01-02T17:55:53Z,1291,188,NONE,NO,18,visors,8
2020-01-02T20:08:27Z,2037,170,ACTIVE,NO, 2,diagnostics,7
2020-01-02T20:31:05Z,2267,153,NONE,YES,16,ppe,1
2020-01-02T20:33:22Z,4934,182,PASSIVE,NO, 8,biologics,6
2020-01-02T20:43:15Z,115,170,ACTIVE,YES, 3,oxygen_tanks,5
2020-01-02T20:56:39Z,868,173,PASSIVE,YES, 2,masks,2
2020-01-02T21:21:41Z,3730,163,NONE,NO, 6,oxygen_tanks,5
2020-01-02T21:21:43Z,3155,170,NONE,YES,50,respirators,4
2020-01-02T23:03:13Z,2165,158,PASSIVE,YES, 5,visors,8
2020-01-03T00:19:26Z,1616,176,NONE,YES,10,vaccines,3
2020-01-03T00:33:10Z,101,172,NONE,NO, 8,ventilators,10
2020-01-03T00:38:12Z,1374,163,NONE,YES, 2,sanitizers,9
2020-01-03T01:41:59Z,406,195,ACTIVE,NO, 5,sanitizers,9
