product_id,month,units,product_name,supply_score,quantity_on_hand
1,5,2244,biologics, 7,156
10,4,3163,visors, 2,173
5,9,3743,ppe, 5,152
3,10,4198,masks, 2,175
9,6,989,ventilators, 5,180
5,9,3032,ppe, 3,153
9,6,27,ventilators, 4,187
10,4,521,visors, 8,160
6,3,3424,respirators,25,158
9,6,4321,ventilators,50,172
10,4,3016,visors, 5,176
5,9,2928,ppe, 4,168
2,7,3715,diagnostics, 0,165
1,5,878,biologics, 8,158
5,9,545,ppe,10,164
2,7,1401,diagnostics, 5,170
3,10,4171,masks,10,162
10,4,2268,visors, 6,176
5,9,2962,ppe,20,180
5,9,1158,ppe, 4,158
4,2,4398,oxygen_tanks,10,173
7,1,2348,sanitizers, 3,162
7,1,1104,sanitizers, 5,175
6,3,4551,respirators,10,170
7,1,1403,sanitizers, 5,165
1,5,4045,biologics,15,180
8,8,736,vaccines, 5,160
8,8,601,vaccines, 5,160
10,4,722,visors, 6,160
8,8,1317,vaccines, 5,161
6,3,2651,respirators, 3,176
9,6,2085,ventilators, 6,184
10,4,1049,visors, 5,168
3,10,1459,masks, 4,170
2,7,824,diagnostics, 3,152
5,9,2467,ppe, 4,168
3,10,1291,masks, 4,190
4,2,4774,oxygen_tanks,20,175
7,1,3735,sanitizers, 4,180
10,4,674,visors,10,176
5,9,3474,ppe, 1,154
2,7,264,diagnostics,12,164
8,8,275,vaccines, 1,176
9,6,134,ventilators, 5,160
7,1,3351,sanitizers, 4,173
2,7,3198,diagnostics, 6,172
9,6,1313,ventilators, 6,175
8,8,3403,vaccines, 5,184
9,6,1731,ventilators,10,176
2,7,4208,diagnostics, 8,180
7,1,4647,sanitizers,14,170
2,7,3621,diagnostics, 4,160
7,1,3022,sanitizers,12,169
5,9,4380,ppe,10,168
7,1,1883,sanitizers, 3,166
4,2,2504,oxygen_tanks, 3,164
3,10,1644,masks, 3,165
7,1,1296,sanitizers,10,176
3,10,4776,masks, 5,173
6,3,3836,respirators, 6,176
2,7,2787,diagnostics, 2,180
1,5,827,biologics, 2,175
1,5,2127,biologics, 2,160
6,3,3035,respirators, 6,155
10,4,1531,visors,25,173
2,7,4226,diagnostics,30,170
2,7,459,diagnostics, 3,179
7,1,3272,sanitizers,15,176
9,6,2545,ventilators, 7,164
8,8,2824,vaccines, 6,163
3,10,2839,masks, 5,170
4,2,242,oxygen_tanks, 3,166
5,9,1940,ppe, 2,164
6,3,2819,respirators,30,186
4,2,687,oxygen_tanks, 5,155
2,7,1735,diagnostics, 5,175
6,3,1014,respirators, 3,162
10,4,3532,visors, 3,171
4,2,923,oxygen_tanks, 5,167
3,10,3056,masks, 4,168
2,7,3742,diagnostics, 8,164
8,8,3143,vaccines,16,167
4,2,433,oxygen_tanks, 1,168
9,6,669,ventilators, 8,158
7,1,4867,sanitizers, 6,158
6,3,3545,respirators,20,180
3,10,1413,masks, 5,160
3,10,1409,masks,10,176
1,5,1808,biologics, 0,183
1,5,2036,biologics, 8,178
1,5,3498,biologics, 4,164
4,2,4114,oxygen_tanks,15,164
7,1,1223,sanitizers,15,197
4,2,2217,oxygen_tanks, 6,165
5,9,2366,ppe, 5,172
3,10,4926,masks, 1,172
5,9,4899,ppe, 0,160
5,9,2893,ppe, 7,165
7,1,4616,sanitizers, 3,176
1,5,3217,biologics, 5,155
2,7,4489,diagnostics,12,156
7,1,3757,sanitizers, 4,160
7,1,3615,sanitizers,10,183
6,3,1584,respirators,40,170
6,3,4009,respirators, 6,176
2,7,3899,diagnostics, 8,168
5,9,3413,ppe, 7,170
5,9,527,ppe,10,170
2,7,4200,diagnostics, 2,172
9,6,4964,ventilators, 5,173
9,6,3263,ventilators,10,164
1,5,408,biologics, 3,170
9,6,95,ventilators, 4,170
6,3,3866,respirators, 5,174
1,5,4085,biologics,12,166
10,4,4674,visors, 5,168
2,7,427,diagnostics, 4,180
9,6,2781,ventilators,12,158
4,2,3499,oxygen_tanks,10,168
1,5,2308,biologics, 2,178
1,5,1428,biologics,10,165
6,3,4234,respirators, 5,170
3,10,1348,masks, 6,156
9,6,4541,ventilators, 4,152
9,6,271,ventilators, 4,173
5,9,2329,ppe, 4,183
7,1,3940,sanitizers,30,163
9,6,3997,ventilators, 4,180
4,2,3827,oxygen_tanks, 2,168
7,1,3262,sanitizers, 1,180
1,5,862,biologics, 6,178
4,2,1027,oxygen_tanks,10,158
9,6,2442,ventilators, 3,158
2,7,2342,diagnostics,20,173
1,5,3090,biologics,20,170
3,10,107,masks, 2,165
3,10,4564,masks, 2,166
1,5,748,biologics,15,174
2,7,645,diagnostics, 4,170
3,10,1381,masks,20,165
8,8,2498,vaccines, 3,162
8,8,4253,vaccines, 1,172
9,6,320,ventilators,15,165
9,6,1913,ventilators, 0,186
2,7,2546,diagnostics,10,160
5,9,3008,ppe, 1,180
2,7,3293,diagnostics, 2,187
7,1,996,sanitizers, 5,150
5,9,4553,ppe, 0,170
6,3,2872,respirators, 4,171
9,6,3253,ventilators, 5,178
5,9,758,ppe, 3,152
1,5,74,biologics, 4,174
1,5,4163,biologics,17,176
8,8,1394,vaccines, 2,178
2,7,1630,diagnostics,10,180
9,6,1168,ventilators, 5,180
1,5,2143,biologics, 7,174
2,7,395,diagnostics, 5,175
10,4,749,visors, 1,166
4,2,3245,oxygen_tanks, 5,175
6,3,3181,respirators, 3,164
4,2,373,oxygen_tanks, 1,164
10,4,942,visors,10,160
1,5,1833,biologics, 3,168
8,8,1151,vaccines, 6,160
6,3,4834,respirators, 6,170
7,1,534,sanitizers, 4,168
3,10,4824,masks,50,178
1,5,2772,biologics, 2,172
8,8,4645,vaccines, 6,175
6,3,4788,respirators, 5,164
8,8,4907,vaccines, 6,174
10,4,2821,visors, 6,168
6,3,1069,respirators,55,173
2,7,4055,diagnostics, 6,172
3,10,836,masks,20,164
1,5,4811,biologics, 3,160
7,1,4224,sanitizers, 2,170
1,5,3551,biologics, 3,175
7,1,4705,sanitizers, 3,176
7,1,1573,sanitizers, 6,159
9,6,2844,ventilators, 8,152
6,3,2803,respirators, 2,160
2,7,4587,diagnostics, 0,178
8,8,474,vaccines, 1,160
1,5,3276,biologics,20,154
1,5,1849,biologics,10,176
1,5,2942,biologics,10,170
6,3,2842,respirators, 2,165
3,10,3877,masks, 8,186
10,4,3343,visors,20,184
5,9,4856,ppe, 3,170
9,6,3859,ventilators,10,165
8,8,1249,vaccines, 0,179
2,7,1971,diagnostics, 2,164
4,2,1255,oxygen_tanks, 4,164
5,9,2154,ppe, 8,160
10,4,1831,visors, 2,180
2,7,3421,diagnostics, 7,171
9,6,88,ventilators, 0,167
7,1,4454,sanitizers, 2,175
6,3,4913,respirators, 7,160
5,9,1800,ppe, 5,150
1,5,1562,biologics, 2,165
10,4,136,visors,15,165
6,3,4016,respirators, 2,164
5,9,3387,ppe,10,164
7,1,676,sanitizers, 0,170
3,10,2633,masks,20,183
3,10,2847,masks,20,168
1,5,3000,biologics,10,168
1,5,4523,biologics, 0,180
4,2,4065,oxygen_tanks,10,170
8,8,1815,vaccines, 3,168
8,8,3221,vaccines, 6,170
4,2,1714,oxygen_tanks,10,185
1,5,1000,biologics, 6,180
7,1,3879,sanitizers, 3,170
3,10,2613,masks, 2,168
7,1,72,sanitizers, 4,165
7,1,4934,sanitizers, 6,182
5,9,813,ppe, 6,168
6,3,4056,respirators,10,158
9,6,318,ventilators,12,175
2,7,4103,diagnostics,10,160
5,9,2574,ppe, 4,185
7,1,1824,sanitizers, 4,175
6,3,3370,respirators,10,165
6,3,1548,respirators, 8,174
7,1,3645,sanitizers, 2,178
2,7,4089,diagnostics, 2,173
3,10,657,masks,20,168
3,10,4509,masks, 6,182
8,8,1440,vaccines, 6,182
3,10,1293,masks, 4,175
2,7,2047,diagnostics, 6,175
7,1,2346,sanitizers, 5,180
1,5,2960,biologics, 2,170
4,2,465,oxygen_tanks, 2,161
8,8,3139,vaccines,10,172
7,1,401,sanitizers, 3,156
9,6,2632,ventilators, 3,150
6,3,3112,respirators,20,162
1,5,2531,biologics,15,164
5,9,80,ppe, 3,182
1,5,4591,biologics, 0,178
4,2,1421,oxygen_tanks, 4,168
10,4,2933,visors,20,182
2,7,4384,diagnostics,10,170
10,4,4170,visors, 4,164
10,4,4605,visors,15,162
7,1,20,sanitizers, 8,186
3,10,73,masks, 5,187
8,8,1375,vaccines,10,164
9,6,2966,ventilators, 2,156
2,7,3277,diagnostics,20,176
3,10,499,masks, 5,170
10,4,1702,visors, 3,165
1,5,4957,biologics,10,160
4,2,1262,oxygen_tanks,10,170
7,1,1726,sanitizers, 5,166
4,2,1522,oxygen_tanks, 8,180
4,2,3327,oxygen_tanks, 2,163
8,8,3053,vaccines,50,180
8,8,2023,vaccines, 3,184
10,4,504,visors,12,174
7,1,869,sanitizers, 2,176
5,9,566,ppe,10,160
3,10,4988,masks,11,185
2,7,1707,diagnostics, 2,185
7,1,561,sanitizers, 5,166
5,9,3202,ppe, 2,181
8,8,4792,vaccines, 2,165
2,7,3375,diagnostics, 3,167
5,9,4738,ppe, 5,165
4,2,1553,oxygen_tanks, 3,156
8,8,3643,vaccines, 8,180
5,9,3473,ppe, 0,154
10,4,24,visors,15,162
8,8,841,vaccines, 8,158
7,1,1582,sanitizers, 0,188
5,9,2426,ppe, 3,164
9,6,2988,ventilators, 8,154
3,10,1194,masks, 4,178
1,5,3059,biologics, 3,160
1,5,3812,biologics, 0,160
8,8,3741,vaccines, 4,178
3,10,4106,masks, 5,172
1,5,3634,biologics,15,160
4,2,977,oxygen_tanks, 0,176
1,5,3493,biologics, 7,174
8,8,2252,vaccines, 5,177
8,8,1749,vaccines, 8,178
5,9,1261,ppe, 1,178
8,8,3150,vaccines, 5,164
2,7,4229,diagnostics,15,164
10,4,4828,visors,10,168
9,6,547,ventilators, 6,170
5,9,574,ppe,10,164
4,2,3433,oxygen_tanks, 2,175
8,8,2116,vaccines, 1,174
7,1,4030,sanitizers, 2,165
2,7,194,diagnostics, 0,162
6,3,2468,respirators, 2,160
10,4,4991,visors, 5,158
2,7,3060,diagnostics,10,165
5,9,1710,ppe, 2,170
8,8,1518,vaccines, 5,167
2,7,4597,diagnostics, 3,167
2,7,4479,diagnostics, 0,180
10,4,3571,visors,10,178
10,4,4583,visors, 0,174
9,6,1292,ventilators, 6,170
6,3,3301,respirators, 5,178
5,9,3825,ppe, 0,162
7,1,2451,sanitizers,10,165
4,2,4704,oxygen_tanks, 4,167
2,7,2000,diagnostics, 5,172
4,2,642,oxygen_tanks, 3,182
4,2,3240,oxygen_tanks, 6,176
7,1,4817,sanitizers, 4,158
3,10,3674,masks, 4,178
9,6,4650,ventilators, 7,166
10,4,2453,visors, 3,170
10,4,1137,visors, 3,160
2,7,332,diagnostics,10,180
4,2,2731,oxygen_tanks,20,158
6,3,1996,respirators, 2,165
5,9,980,ppe, 3,175
2,7,546,diagnostics,12,164
5,9,3218,ppe, 2,162
1,5,2053,biologics, 4,164
8,8,750,vaccines, 5,175
8,8,4233,vaccines,15,172
2,7,4238,diagnostics,15,158
7,1,4978,sanitizers, 5,195
8,8,77,vaccines,20,175
5,9,4,ppe, 2,176
